date,lat,long,network,net,activity,town_name
2017-08-10,40.77689,0.51465,Orange,,in vehicle,Tortosa
2017-08-10,42.00668,2.19619,Movistar,,tilting,Santa Cecília de Voltregà
2017-08-10,41.6706,2.16512,Jazztel,,tilting,Caldes de Montbui
2017-08-10,41.79184,1.77873,Movistar,,in vehicle,Callús
2017-08-10,41.78506,1.78836,Movistar,,in vehicle,Callús
2017-08-10,41.61346,2.42119,Movistar,,in vehicle,Dosrius
2017-08-10,41.7651,1.79084,Movistar,,in vehicle,Sant Joan de Vilatorrada
2017-08-10,41.74157,1.80828,Movistar,,in vehicle,Sant Joan de Vilatorrada
2017-08-10,42.00281,0.72901,Movistar,,in vehicle,Àger
2017-08-10,41.38325,2.0766,Vodafone,,on foot,Sant Just Desvern
2017-08-10,41.38352,2.07113,Vodafone,,tilting,Sant Just Desvern
2017-08-10,41.38359,2.07135,Vodafone,,tilting,Sant Just Desvern
2017-08-10,41.38317,2.07401,Vodafone,,tilting,Sant Just Desvern
2017-08-10,41.38309,2.07605,Vodafone,,tilting,Sant Just Desvern
2017-08-10,41.38318,2.07078,Vodafone,,in vehicle,Sant Just Desvern
2017-08-10,41.87447,2.60871,Vodafone,,in vehicle,Santa Coloma de Farners
2017-08-10,42.32025,2.88195,,2G,tilting,Boadella i les Escaules
2017-08-10,42.32124,2.8834,,2G,in vehicle,Boadella i les Escaules
2017-08-10,41.80154,2.21906,Movistar,2G,still,Centelles
2017-08-10,41.80143,2.22066,Movistar,2G,still,Centelles
2017-08-10,41.80141,2.21925,Movistar,2G,still,Centelles
2017-08-10,41.80163,2.21942,Movistar,2G,still,Centelles
2017-08-10,41.80136,2.21935,Movistar,2G,still,Centelles
2017-08-10,41.80139,2.21953,Movistar,2G,still,Centelles
2017-08-10,41.80106,2.21923,Movistar,2G,still,Centelles
2017-08-10,41.80161,2.21929,Movistar,2G,tilting,Centelles
2017-08-10,41.79783,2.22112,Movistar,2G,tilting,Centelles
2017-08-10,41.80108,2.21984,Movistar,2G,tilting,Centelles
2017-08-10,41.47744,1.93722,Movistar,2G,tilting,Martorell
2017-08-10,42.24654,1.97499,Movistar,2G,tilting,la Pobla de Lillet
2017-08-10,41.80889,2.98476,Movistar,2G,tilting,Santa Cristina d'Aro
2017-08-10,41.80884,2.98539,Movistar,2G,tilting,Santa Cristina d'Aro
2017-08-10,41.80869,2.98503,Movistar,2G,tilting,Santa Cristina d'Aro
2017-08-10,41.80871,2.98486,Movistar,2G,tilting,Santa Cristina d'Aro
2017-08-10,41.80887,2.98506,Movistar,2G,tilting,Santa Cristina d'Aro
2017-08-10,41.59642,1.74598,Movistar,2G,in vehicle,el Bruc
2017-08-10,41.44691,1.99274,Movistar,2G,in vehicle,Castellbisbal
2017-08-10,41.30428,1.61281,Movistar,2G,in vehicle,Castellet i la Gornal
2017-08-10,41.46973,1.94889,Movistar,2G,in vehicle,Martorell
2017-08-10,41.62616,1.42781,Movistar,2G,in vehicle,Montmaneu
2017-08-10,41.45161,1.97587,Movistar,2G,in vehicle,Sant Andreu de la Barca
2017-08-10,41.33073,1.66655,Movistar,2G,in vehicle,Santa Margarida i els Monjos
2017-08-10,42.32072,2.88263,,3G,tilting,Boadella i les Escaules
2017-08-10,42.31779,2.89758,,3G,in vehicle,Boadella i les Escaules
2017-08-10,42.31741,2.89019,,3G,in vehicle,Boadella i les Escaules
2017-08-10,41.18716,1.56928,LlamaYA,3G,tilting,Calafell
2017-08-10,41.18731,1.56907,LlamaYA,3G,tilting,Calafell
2017-08-10,41.75353,1.89799,Movistar,3G,still,Navarcles
2017-08-10,41.80888,2.98518,Movistar,3G,still,Santa Cristina d'Aro
2017-08-10,41.80868,2.98518,Movistar,3G,still,Santa Cristina d'Aro
2017-08-10,41.80861,2.985,Movistar,3G,still,Santa Cristina d'Aro
2017-08-10,41.75148,1.90139,Movistar,3G,on foot,Navarcles
2017-08-10,42.24258,3.03638,Movistar,3G,tilting,Fortià
2017-08-10,41.80911,2.9849,Movistar,3G,tilting,Santa Cristina d'Aro
2017-08-10,41.80868,2.98484,Movistar,3G,tilting,Santa Cristina d'Aro
2017-08-10,41.75369,1.89786,Movistar,3G,in vehicle,Navarcles
2017-08-10,41.75335,1.89757,Movistar,3G,in vehicle,Navarcles
2017-08-10,41.75107,1.90108,Movistar,3G,in vehicle,Navarcles
2017-08-10,41.75177,1.90197,Movistar,3G,in vehicle,Navarcles
2017-08-10,42.32052,2.88199,Movistar,3G,in vehicle,Boadella i les Escaules
2017-08-10,42.31749,2.88832,Movistar,3G,in vehicle,Boadella i les Escaules
2017-08-10,42.31995,2.88244,Movistar,3G,in vehicle,Boadella i les Escaules
2017-08-10,42.01294,2.2424,Movistar,3G,still,Sant Hipòlit de Voltregà
2017-08-10,42.01278,2.24257,Movistar,3G,tilting,Sant Hipòlit de Voltregà
2017-08-10,42.0132,2.24219,Movistar,3G,tilting,Sant Hipòlit de Voltregà
2017-08-10,42.01307,2.24239,Movistar,3G,unknown,Sant Hipòlit de Voltregà
2017-08-10,41.51871,1.218,Eroski Movil,3G,on foot,Passanant i Belltall
2017-08-10,41.21564,1.13805,Orange,4G,tilting,la Selva del Camp
2017-08-10,41.21559,1.13818,Orange,4G,tilting,la Selva del Camp
2017-08-10,41.21571,1.1379,Orange,4G,tilting,la Selva del Camp
2017-08-10,41.21558,1.13828,Orange,4G,unknown,la Selva del Camp
2017-08-10,41.21543,1.13802,Orange,4G,in vehicle,la Selva del Camp
2017-08-10,41.82263,1.89487,Orange,4G,unknown,Sallent
2017-08-10,42.06052,1.84737,Movistar,4G,still,Avià
2017-08-10,41.60905,2.08657,Movistar,4G,still,Castellar del Vallès
2017-08-10,41.61028,2.0868,Movistar,4G,still,Castellar del Vallès
2017-08-10,41.61052,2.08648,Movistar,4G,still,Castellar del Vallès
2017-08-10,41.61049,2.08659,Movistar,4G,still,Castellar del Vallès
2017-08-10,41.6106,2.0867,Movistar,4G,still,Castellar del Vallès
2017-08-10,41.60895,2.08672,Movistar,4G,still,Castellar del Vallès
2017-08-10,41.19906,1.59655,Movistar,4G,still,Calafell
2017-08-10,41.19843,1.59684,Movistar,4G,still,Calafell
2017-08-10,41.19958,1.59682,Movistar,4G,still,Calafell
2017-08-10,41.19884,1.59656,Movistar,4G,still,Calafell
2017-08-10,41.19882,1.59652,Movistar,4G,still,Calafell
2017-08-10,41.19875,1.59678,Movistar,4G,still,Calafell
2017-08-10,41.56059,2.10138,Movistar,4G,on foot,Sabadell
2017-08-10,42.06062,1.84721,Movistar,4G,tilting,Avià
2017-08-10,42.06072,1.84742,Movistar,4G,tilting,Avià
2017-08-10,42.06078,1.84723,Movistar,4G,tilting,Avià
2017-08-10,42.06081,1.84713,Movistar,4G,tilting,Avià
2017-08-10,42.06078,1.8475,Movistar,4G,tilting,Avià
2017-08-10,42.06106,1.84746,Movistar,4G,tilting,Avià
2017-08-10,41.19927,1.59715,Movistar,4G,tilting,Calafell
2017-08-10,41.19891,1.59659,Movistar,4G,tilting,Calafell
2017-08-10,41.19887,1.59651,Movistar,4G,tilting,Calafell
2017-08-10,41.19878,1.59679,Movistar,4G,tilting,Calafell
2017-08-10,41.19771,1.5965,Movistar,4G,tilting,Calafell
2017-08-10,41.19883,1.5965,Movistar,4G,tilting,Calafell
2017-08-10,41.19845,1.597,Movistar,4G,tilting,Calafell
2017-08-10,41.1993,1.59647,Movistar,4G,tilting,Calafell
2017-08-10,41.60914,2.08639,Movistar,4G,unknown,Castellar del Vallès
2017-08-10,41.52258,1.88906,Movistar,4G,in vehicle,Abrera
2017-08-10,41.61015,2.0867,Movistar,4G,in vehicle,Castellar del Vallès
2017-08-10,41.61036,2.08677,Movistar,4G,in vehicle,Castellar del Vallès
2017-08-10,41.61048,2.08672,Movistar,4G,in vehicle,Castellar del Vallès
2017-08-10,41.60847,2.08649,Movistar,4G,in vehicle,Castellar del Vallès
2017-08-10,41.45788,1.98146,Movistar,4G,in vehicle,Castellbisbal
2017-08-10,41.66606,1.83286,Movistar,4G,in vehicle,Castellgalí
2017-08-10,41.56304,1.81772,Movistar,4G,in vehicle,Collbató
2017-08-10,41.53759,1.86859,Movistar,4G,in vehicle,Esparreguera
